like1,parmu,parlnS,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,chain
138683.50704156846,-12.587599911165743,-10.075434091127754,-121385.08745797689,-10245.091256846126,-2192.426165997114,-607.1231223898262,-184406.6596408981,-61855.39608178374,-41886.58983571351,-32278.588639303427,-210267.42657452836,-87084.96675910737,-66196.4247311473,-55705.46827324101,-226804.00087720994,-103462.43831197565,-82337.05009436097,-71612.81310288268,-238985.93445724802,-115581.524305983,-94362.01706674705,-83544.40843503924,-248635.04103473408,-125199.56556248447,-103933.41779552778,-93069.3980142113,-256625.38268179313,-133172.31688949114,-111879.7249305573,-100989.3495223874,-263444.4742448829,-139980.49349675298,-118671.4800782046,-107764.72310074611,-269392.1931781168,-145920.97771629906,-124601.07441405028,-113683.44762384474,-274666.21179191285,-151189.95582993198,-129862.4629262421,-118937.25751343189,1.0
2557647.0720444093,-15.96870778114193,-10.259895629589291,-1426898.7520681338,-0.01213368548355604,-7.593412122014394e-13,-7.235768251319436e-23,-3234654.4314448903,-148743.8257160786,-16717.73360809077,-2510.748228689369,-3992833.666207363,-570344.6554723197,-201878.58815712004,-89015.95103504058,-4478510.256114335,-954206.1381401968,-472289.282216647,-280477.3992512067,-4836481.37609269,-1269706.4244287093,-733271.0829764,-496537.6486587362,-5120089.428763882,-1531823.422558121,-966066.6546436292,-703333.2520489314,-5354971.057218225,-1754386.3366142896,-1171279.8813947737,-892561.4547928405,-5555437.1976667205,-1947153.461429973,-1352999.428259044,-1063870.8160950192,-5730294.847887856,-2116884.5503817955,-1515286.1790245294,-1219041.4263606016,-5885351.075463455,-2268357.9400828816,-1661514.813128483,-1360207.6514561495,1.0
138011.9192165736,-12.525015473449642,-10.44435716805083,-123445.12829666956,-15360.41567372266,-4793.50936530747,-1884.305347323932,-182665.46478841227,-67239.95426555534,-48036.06860032416,-38586.577955692446,-206958.41431564602,-91145.94413642866,-71371.46382508779,-61366.33542167756,-222492.04110904795,-106582.32548270331,-86662.44085975572,-76513.33424205023,-233935.0466367585,-117986.9502560815,-98009.45386411804,-87803.03307177925,-242998.82952315925,-127031.76845316072,-107025.75811654488,-96790.91454636562,-250504.45619289076,-134526.65860763364,-114504.49187426578,-104253.52707462948,-256909.87707475098,-140925.41810407813,-120893.22226579083,-110632.24419215081,-262496.7821460105,-146507.90814196822,-126469.06310380776,-116201.44379290899,-267450.85414044664,-151458.90428019894,-131415.42589744763,-121143.17759649822,1.0
501.32014836823333,-9.081323165757333,-10.62881870651237,-6480.002339150253,-2781.461721732509,-2151.6182219365824,-1833.8441705155003,-8373.157153092645,-4667.726210468927,-4027.568418890763,-3699.5671828332943,-9149.29314017534,-5443.530936476287,-4802.874050410713,-4474.374073213988,-9645.553565166178,-5939.7085669871885,-5298.926892316145,-4970.30215920357,-10011.123674654546,-6305.24604902762,-5664.4151928778,-5335.741285053533,-10300.682880633924,-6594.78914352638,-5953.9340004308315,-5625.23580772704,-10540.463144214838,-6834.560288927296,-6193.691400493527,-5864.979463247194,-10745.095034057185,-7039.186522572824,-6398.3091075067805,-6069.5886439860005,-10923.577848285411,-7217.665588452918,-6576.782522760398,-6248.056408793005,-11081.843644299033,-7375.928773294873,-6735.041771244421,-6406.311721017425,1.0
6402.462418556703,-5.637630858065027,-10.813280244973905,-288.0837329064227,-169.69863769584092,-149.23350946087106,-138.7407047026131,-348.56450370359903,-230.173544677767,-209.699578182482,-199.19793716200988,-373.3593922890417,-254.96815206862505,-234.4937616685396,-223.9916967512431,-389.2131943275101,-270.8218838363214,-250.34738750101164,-239.84521664922835,-400.89188893072566,-282.5005507485247,-262.02601266809734,-251.5238000713489,-410.14229779185985,-291.7509459360314,-271.27638724213415,-260.77415403196244,-417.80244203189386,-299.4110824376401,-278.9365120777899,-268.43426720168327,-424.33971782453636,-305.9483534300013,-285.4737758335527,-274.97152372085566,-430.0416215886998,-311.6502540130402,-291.1756716209299,-280.6734147125752,-435.0976619814665,-316.70629218977905,-296.2317064569253,-285.7294462078292,1.0
6686.230319896912,-2.193938550372719,-10.997741783435444,-11.793218288629857,-8.011032151658073,-7.356948193459337,-7.021445240438608,-13.725368811330435,-9.943177697577532,-9.28908623673118,-8.953575781107899,-14.51747903487087,-10.73528768247653,-10.081195861869366,-9.745685046485455,-15.023952706208535,-11.241761294177723,-10.587669383666343,-10.252158478378231,-15.397046255511516,-11.614854819980286,-10.960762874041144,-10.625251933325274,-15.692564545584762,-11.910373098449197,-11.25628113501608,-10.920770176806236,-15.93727942860563,-12.15508797490273,-11.500996001569112,-11.165485033458765,-16.146122582021928,-12.363931124245196,-11.70983914477012,-11.374328170518321,-16.32827851353347,-12.54608705305703,-11.891995069512046,-11.556484091190333,-16.48980136363031,-12.707609901273203,-12.053517914893042,-11.718006933736156,1.0
6482.9455247596225,-5.269753757319586,-11.182203321896983,-210.80852127546274,-128.85982481683354,-114.69039964754418,-107.42384027356722,-252.67345739271317,-170.7228180710584,-156.55046422615706,-149.28097649351108,-269.83653551053425,-187.88580302380547,-173.71330873009572,-166.44368054990622,-280.8105730420284,-198.85981727331452,-184.68728788123198,-177.41762460278662,-288.89459174564416,-206.94382680239946,-192.7712835793861,-185.50160647003412,-295.2977455753519,-213.3469761017894,-199.17442604915743,-191.9047421101942,-300.6001146492894,-218.64934261184825,-204.4767886940749,-197.2071008899732,-305.1252316548533,-223.17445802699322,-209.00190171160452,-201.73221150988866,-309.0721022617841,-227.1213275799607,-212.9487696756832,-205.6790778850791,-312.57190478964037,-230.62112937360752,-216.44857036248172,-209.17887746502979,1.0
1504.9893310213783,-8.713446065011889,-11.366664860358522,-5020.805343495285,-2457.250437337469,-2016.1656796809818,-1791.1499518153132,-6331.267441033989,-3766.1309565998795,-3322.667486325909,-3095.2797297409106,-6868.511286813433,-4303.298898697445,-3859.721023069095,-3632.2188879453975,-7212.024061079885,-4646.792703704252,-4203.186233264307,-3975.6555058084678,-7465.072588456169,-4899.833755929088,-4456.216016843429,-4228.674021255073,-7665.506159143742,-5100.263635419596,-4656.640331845563,-4429.092771925519,-7831.48261774474,-5266.238005026114,-4822.61155226435,-4595.06084321691,-7973.129284987586,-5407.883376426827,-4964.2549701567805,-4736.702307628192,-8096.675498877684,-5531.428731567392,-5087.799030711399,-4860.245073610503,-8206.227444673408,-5640.980079142531,-5197.349476452661,-4969.794617525342,1.0
113353.8501891178,-12.157138372704207,-11.55112639882006,-107774.50569723656,-28827.170051279852,-16865.974031637466,-11545.235300175129,-148788.78146615956,-68582.63401844776,-54834.21189072246,-47848.83058844345,-165605.46292307688,-85337.59175753695,-71496.58955204596,-64419.19089388939,-176358.1360053574,-96074.82022211721,-82210.57833355598,-75109.99238042862,-184279.11327872795,-103989.70918674582,-90116.29798739732,-83006.55358646522,-190553.13508841922,-110260.7241780218,-96382.78284879573,-89268.51163708519,-195748.57555871888,-115454.46284240145,-101573.95704046566,-94457.12263465588,-200182.44016745788,-119887.27174263302,-106005.17489880462,-98886.7500262314,-204049.72026225366,-123753.85220383362,-109870.70087651473,-102751.22180958523,-207478.94828464888,-127182.59283943906,-113298.70688964981,-106178.4933583168,1.0
2417848.1901005413,-15.600830680396506,-11.7355879372816,-1832837.592911341,-13750.326079856395,-177.95610594173246,-3.2515934974991847,-3111618.1222251602,-670370.0478582336,-334666.6076048724,-200229.81374337073,-3637775.8724902696,-1148715.2639271035,-749729.0296379386,-561112.3228166595,-3974298.670247068,-1472889.05468023,-1056171.0551429426,-850830.6361824801,-4222219.6797710275,-1715898.378943479,-1291963.175759717,-1079624.6125255688,-4418599.295469629,-1909843.0801864103,-1482294.8925077028,-1266411.5915526608,-4581221.949351681,-2071084.9115726524,-1641477.4244379932,-1423561.3781495653,-4720008.054009312,-2209013.4440664765,-1778123.2104608219,-1558936.4315262712,-4841060.149398978,-2329496.7979147127,-1897754.238768438,-1677721.1962811416,-4948401.033122139,-2436441.282325263,-2004103.9131294591,-1783479.3828661153,1.0
246975.761741455,-12.955477011911183,-11.920049475743136,-225006.9635091003,-51152.661018199455,-26605.966729292453,-16489.946743833087,-316126.66960058315,-138030.4462143637,-107647.09280435176,-92288.28661016136,-353490.3852655818,-175183.6952104299,-144485.51739934806,-128814.82059044954,-377381.08253147634,-199021.69279749683,-168244.29698396442,-152494.65634429824,-394980.24225703237,-216600.07417329823,-185791.40162171944,-170010.54115269997,-408920.1380952068,-230529.70742364114,-199705.57811587077,-183909.27828594038,-420463.5994998521,-242067.3601410762,-211234.4795965638,-195429.43523247872,-430314.9600574452,-251915.117213951,-221076.80678934674,-205266.3355604226,-438907.458887863,-260505.22792444754,-229663.3185803182,-213849.24994784454,-446526.67449418706,-268122.77987359825,-237278.3631930789,-221461.78805302826,1.0
